scrape_timestamp,observation_time,temperature,dew_point,humidity,wind,pressure,precip_amount,condition,location,date,water_temp_0_35m,water_temp_2m,water_temp_7m,water_temp_entry_id
2025-11-13T06:55:33.452367+00:00,5:50 AM,57 °F,52 °F,82 %,6 mph SW,29.63 in,0.0 in,Fair,EGLC,2025-11-13,12.25000,12.31250,12.25000,563656
2025-11-13T07:27:09.543524+00:00,7:20 AM,57 °F,54 °F,88 %,8 mph SW,29.69 in,0.0 in,Fair,EGLC,2025-11-13,12.25000,12.31250,12.25000,563662
2025-11-13T08:36:56.237233+00:00,8:20 AM,57 °F,54 °F,88 %,8 mph SW,29.72 in,0.0 in,Fair,EGLC,2025-11-13,12.25000,12.31250,12.25000,563676
2025-11-13T09:31:01.579377+00:00,9:20 AM,59 °F,54 °F,82 %,6 mph WSW,29.72 in,0.0 in,Fair,EGLC,2025-11-13,12.25000,12.25000,12.25000,563686
2025-11-13T10:32:56.732317+00:00,10:20 AM,61 °F,54 °F,77 %,9 mph WSW,29.75 in,0.0 in,Fair,EGLC,2025-11-13,12.25000,12.31250,12.25000,563698
2025-11-13T11:25:10.566455+00:00,11:20 AM,61 °F,54 °F,77 %,9 mph W,29.75 in,0.0 in,Mostly Cloudy,EGLC,2025-11-13,12.25000,12.31250,12.25000,563709
