scrape_timestamp,forecast_date,forecast_hour,condition,temperature,feels_like,precip_chance,precip_amount,cloud_cover,dew_point,humidity,wind,pressure,location
2025-11-14T23:13:42.226904+00:00,2025-11-15,12 :00 am,Partly Cloudy,56 °F,56 °F,4 %,0 in,43 %,54 °F,93 %,3 mph SSW,29.64 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,1 :00 am,Partly Cloudy,55 °F,55 °F,3 %,0 in,39 %,53 °F,94 %,2 mph SW,29.65 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,2 :00 am,Partly Cloudy,54 °F,54 °F,3 %,0 in,55 %,53 °F,96 %,2 mph SW,29.67 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,3 :00 am,Cloudy,54 °F,54 °F,3 %,0 in,80 %,53 °F,95 %,3 mph WSW,29.68 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,4 :00 am,Cloudy,54 °F,54 °F,3 %,0 in,92 %,52 °F,95 %,2 mph N,29.69 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,5 :00 am,Cloudy,54 °F,54 °F,3 %,0 in,92 %,52 °F,95 %,3 mph N,29.71 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,6 :00 am,Cloudy,53 °F,53 °F,6 %,0 in,82 %,52 °F,96 %,2 mph NNW,29.72 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,7 :00 am,Cloudy,53 °F,53 °F,15 %,0 in,86 %,53 °F,98 %,2 mph NNW,29.74 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,8 :00 am,Cloudy,53 °F,53 °F,15 %,0 in,91 %,53 °F,98 %,2 mph N,29.76 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,9 :00 am,Cloudy,54 °F,54 °F,9 %,0 in,88 %,52 °F,95 %,2 mph NNE,29.77 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,10 :00 am,Cloudy,55 °F,55 °F,9 %,0 in,86 %,52 °F,92 %,2 mph NE,29.78 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,11 :00 am,Cloudy,55 °F,55 °F,8 %,0 in,88 %,53 °F,90 %,3 mph NNE,29.79 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,12 :00 pm,Cloudy,56 °F,56 °F,8 %,0 in,90 %,53 °F,88 %,3 mph NNE,29.78 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,1 :00 pm,Cloudy,56 °F,56 °F,8 %,0 in,90 %,52 °F,87 %,4 mph NE,29.78 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,2 :00 pm,Cloudy,56 °F,56 °F,8 %,0 in,90 %,52 °F,87 %,4 mph NNE,29.77 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,3 :00 pm,Cloudy,56 °F,56 °F,7 %,0 in,90 %,52 °F,85 %,4 mph NNE,29.77 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,4 :00 pm,Cloudy,56 °F,55 °F,15 %,0 in,90 %,52 °F,87 %,4 mph NNE,29.78 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,5 :00 pm,Cloudy,55 °F,54 °F,8 %,0 in,89 %,52 °F,89 %,4 mph NNE,29.78 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,6 :00 pm,Cloudy,55 °F,54 °F,20 %,0 in,91 %,52 °F,90 %,5 mph NNE,29.79 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,7 :00 pm,Cloudy,54 °F,53 °F,24 %,0 in,96 %,52 °F,90 %,5 mph NE,29.79 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,8 :00 pm,Cloudy,54 °F,53 °F,24 %,0 in,95 %,51 °F,92 %,5 mph NE,29.80 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,9 :00 pm,Cloudy,54 °F,53 °F,19 %,0 in,95 %,51 °F,90 %,5 mph NNE,29.81 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,10 :00 pm,Cloudy,53 °F,52 °F,10 %,0 in,97 %,51 °F,90 %,6 mph NE,29.81 in,EGLC
2025-11-14T23:13:42.226904+00:00,2025-11-15,11 :00 pm,Cloudy,53 °F,51 °F,10 %,0 in,99 %,50 °F,89 %,7 mph NE,29.81 in,EGLC
