scrape_timestamp,forecast_date,forecast_hour,condition,temperature,feels_like,precip_chance,precip_amount,cloud_cover,dew_point,humidity,wind,pressure,location
2025-11-13T23:14:37.014753+00:00,2025-11-14,12 :00 am,Light Rain,56 °F,55 °F,61 %,0.01 in,99 %,55 °F,97 %,7 mph E,29.68 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,1 :00 am,Cloudy,56 °F,55 °F,19 %,0 in,98 %,55 °F,96 %,7 mph ENE,29.66 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,2 :00 am,Cloudy,56 °F,55 °F,19 %,0 in,99 %,55 °F,96 %,7 mph E,29.65 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,3 :00 am,Light Rain,57 °F,55 °F,62 %,0.02 in,100 %,55 °F,94 %,6 mph E,29.63 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,4 :00 am,Rain,57 °F,56 °F,65 %,0.02 in,100 %,55 °F,92 %,6 mph E,29.62 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,5 :00 am,Light Rain,57 °F,56 °F,69 %,0.01 in,100 %,55 °F,92 %,6 mph E,29.60 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,6 :00 am,Light Rain,57 °F,56 °F,82 %,0.02 in,100 %,55 °F,93 %,6 mph E,29.59 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,7 :00 am,Rain,57 °F,56 °F,80 %,0.04 in,100 %,55 °F,92 %,6 mph ESE,29.59 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,8 :00 am,Rain,57 °F,56 °F,86 %,0.04 in,100 %,55 °F,93 %,6 mph ESE,29.59 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,9 :00 am,Rain,57 °F,56 °F,73 %,0.03 in,100 %,55 °F,92 %,6 mph ESE,29.59 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,10 :00 am,Light Rain,58 °F,57 °F,80 %,0.02 in,100 %,55 °F,90 %,6 mph ESE,29.58 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,11 :00 am,Light Rain,58 °F,56 °F,46 %,0.01 in,100 %,55 °F,92 %,7 mph ESE,29.57 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,12 :00 pm,Light Rain,58 °F,57 °F,73 %,0.02 in,100 %,56 °F,91 %,8 mph ESE,29.55 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,1 :00 pm,Light Rain,59 °F,57 °F,68 %,0.02 in,100 %,55 °F,90 %,8 mph ESE,29.54 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,2 :00 pm,Light Rain,59 °F,58 °F,54 %,0.01 in,99 %,55 °F,88 %,9 mph SE,29.53 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,3 :00 pm,Light Rain,59 °F,58 °F,42 %,0.01 in,97 %,55 °F,85 %,9 mph SE,29.52 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,4 :00 pm,Light Rain,59 °F,58 °F,40 %,0.01 in,94 %,55 °F,85 %,8 mph ESE,29.52 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,5 :00 pm,Light Rain,58 °F,57 °F,47 %,0.02 in,89 %,55 °F,88 %,7 mph ESE,29.53 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,6 :00 pm,Light Rain,58 °F,57 °F,44 %,0.01 in,80 %,55 °F,88 %,7 mph SE,29.54 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,7 :00 pm,Light Rain,58 °F,57 °F,39 %,0.01 in,90 %,55 °F,89 %,6 mph SE,29.55 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,8 :00 pm,Mostly Cloudy,57 °F,57 °F,24 %,0 in,77 %,55 °F,91 %,5 mph SE,29.57 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,9 :00 pm,Mostly Cloudy,57 °F,57 °F,20 %,0 in,60 %,55 °F,90 %,5 mph SSE,29.59 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,10 :00 pm,Light Rain,56 °F,55 °F,35 %,0.02 in,80 %,54 °F,92 %,5 mph SE,29.61 in,EGLC
2025-11-13T23:14:37.014753+00:00,2025-11-14,11 :00 pm,Partly Cloudy,56 °F,55 °F,22 %,0 in,44 %,54 °F,92 %,5 mph SE,29.63 in,EGLC
