scrape_timestamp,forecast_date,forecast_hour,condition,temperature,feels_like,precip_chance,precip_amount,cloud_cover,dew_point,humidity,wind,pressure,location
2025-11-15T23:12:53.541278+00:00,2025-11-16,12 :00 am,Cloudy,52 °F,49 °F,11 %,0 in,100 %,48 °F,88 %,8 mph NE,29.80 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,1 :00 am,Cloudy,51 °F,48 °F,11 %,0 in,100 %,48 °F,88 %,8 mph NE,29.81 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,2 :00 am,Cloudy,51 °F,48 °F,11 %,0 in,100 %,48 °F,88 %,8 mph NE,29.81 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,3 :00 am,Cloudy,52 °F,49 °F,9 %,0 in,99 %,48 °F,87 %,8 mph NNE,29.81 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,4 :00 am,Cloudy,51 °F,48 °F,8 %,0 in,99 %,48 °F,88 %,8 mph NNE,29.82 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,5 :00 am,Cloudy,51 °F,48 °F,7 %,0 in,100 %,48 °F,87 %,9 mph NNE,29.83 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,6 :00 am,Cloudy,51 °F,48 °F,6 %,0 in,100 %,47 °F,87 %,8 mph NE,29.83 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,7 :00 am,Cloudy,51 °F,48 °F,9 %,0 in,99 %,47 °F,87 %,8 mph NNE,29.84 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,8 :00 am,Cloudy,51 °F,47 °F,19 %,0 in,99 %,47 °F,86 %,8 mph NNE,29.85 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,9 :00 am,Cloudy,50 °F,47 °F,15 %,0 in,98 %,46 °F,86 %,9 mph NNE,29.87 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,10 :00 am,Cloudy,50 °F,47 °F,7 %,0 in,94 %,46 °F,84 %,10 mph NE,29.87 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,11 :00 am,Cloudy,50 °F,47 °F,6 %,0 in,99 %,44 °F,80 %,10 mph NNE,29.88 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,12 :00 pm,Cloudy,50 °F,46 °F,5 %,0 in,99 %,43 °F,75 %,10 mph NNE,29.88 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,1 :00 pm,Cloudy,50 °F,46 °F,4 %,0 in,95 %,41 °F,72 %,11 mph NNE,29.89 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,2 :00 pm,Cloudy,50 °F,46 °F,4 %,0 in,95 %,40 °F,67 %,11 mph NNE,29.89 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,3 :00 pm,Cloudy,50 °F,46 °F,2 %,0 in,93 %,39 °F,65 %,10 mph NNE,29.90 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,4 :00 pm,Cloudy,49 °F,45 °F,2 %,0 in,82 %,38 °F,65 %,10 mph NNE,29.92 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,5 :00 pm,Mostly Cloudy,48 °F,44 °F,2 %,0 in,68 %,38 °F,67 %,9 mph NNE,29.95 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,6 :00 pm,Mostly Cloudy,48 °F,44 °F,2 %,0 in,62 %,38 °F,68 %,9 mph NNE,29.96 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,7 :00 pm,Partly Cloudy,47 °F,43 °F,2 %,0 in,46 %,37 °F,68 %,8 mph NNE,29.98 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,8 :00 pm,Mostly Cloudy,46 °F,42 °F,3 %,0 in,60 %,37 °F,70 %,8 mph NNE,29.99 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,9 :00 pm,Mostly Cloudy,46 °F,42 °F,3 %,0 in,67 %,37 °F,72 %,7 mph N,30.00 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,10 :00 pm,Mostly Cloudy,45 °F,42 °F,4 %,0 in,63 %,38 °F,75 %,7 mph N,30.01 in,EGLC
2025-11-15T23:12:53.541278+00:00,2025-11-16,11 :00 pm,Mostly Cloudy,45 °F,41 °F,5 %,0 in,72 %,38 °F,76 %,8 mph NNW,30.01 in,EGLC
